"Number of international tourist visits to London, UK 2011-2023",
"Number of overseas tourist visits to London, United Kingdom from 2011 to 2023 (in millions)",
,
2011,16.10
2012,16.28
2013,17.47
2014,18.19
2015,19.38
2016,20.53
2017,21.71
2018,21.07
2019,21.71
2021,2.72
2022,16.13
2023,20.28
